c_id,name,origin
C15802,6-Deoxocastasterone,yellow
C08614,Violaxanthin; all-trans-Violaxanthin,yellow
C05825,2-Amino-5-oxohexanoate,blue
C17622,(6E)-8-Oxogeranial; 10-Oxogeranial; 8-Oxogeranial,yellow
C15806,Syringyl lignin,yellow
C01645,tRNA(Leu),blue
C02985,L-Fucose 1-phosphate; 6-Deoxy-L-galactose 1-phosphate; beta-L-Fucose 1-phosphate,green
C03405,Lactosylceramide sulfate; SM3,green
C20742,2'-Phospho-cyclic ADP-ribose; cADPRP,yellow
C06376,N-Acetyl-D-galactosamine 6-phosphate,blue
C21015,gamma-L-Glutamyl-L-2-aminobutyrate,green
C05465,Taurochenodeoxycholate; Taurochenodeoxycholic acid; Chenodeoxycholoyltaurine,yellow
C16237,Protein N6-(lipoyl)lysine; [Lipoyl-carrier protein]-N6-(lipoyl)lysine,green
C02984,L-Aspartyl-tRNA(Asp),green
C14842,"Bromobenzene-2,3-dihydrodiol; 3-Bromo-3,5-cyclohexadiene-1,2-diol",yellow
C00741,"Diacetyl; Biacetyl; Dimethylglyoxal; 2,3-Butanedione",blue
C13816,"(9R,13R)-12-Oxo-phytodienoic acid; (9R,13R)-12-Oxo-phyto-10Z,15Z-dienoic acid; (10Z,15Z)-(9R,13R)-12-Oxophyto-10,15-dienoic acid; (15Z)-12-Oxophyto-10,15-dienoate; (9R,13R)-OPDA",yellow
C11540,Cobalt-precorrin 4,blue
C04713,N6-(delta2-Isopentenyl)-adenosine 5'-monophosphate; N6-(Dimethylallyl)adenosine 5'-phosphate; Isopentenyl-AMP; N6-Prenyladenosine 5'-phosphate,yellow
C00226,Primary alcohol; 1-Alcohol,yellow
C00794,D-Sorbitol; D-Glucitol; L-Gulitol; Sorbitol,green
C01367,3'-AMP; 3'-Adenylic acid; 3'-Adenosine monophosphate; Adenosine-3'-monophosphate; Adenosine 3'-phosphate; AMP 3'-phosphate,blue
C00936,alpha-D-Mannose; alpha-D-Mannopyranose,yellow
C21178,Pupylated protein; N6-([Prokaryotic ubiquitin-like protein]-gamma-L-glutamyl)-[protein]-L-lysine,blue
C00584,"Prostaglandin E2; (5Z,13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprosta-5,13-dienoate; Dinoprostone; PGE2",yellow
C03691,CMP-N-glycoloylneuraminate; CMP-N-glycolylneuraminate; CMP-Neu5Gc,yellow
C16242,Cobalt-precorrin 5A,blue
C19880,D-glycero-alpha-D-manno-Heptose 1-phosphate,blue
C16300,"Stearidonic acid; 6,9,12,15-Octadecatetraenoic acid; (6Z,9Z,12Z,15Z)-Octadecatetraenoic acid; 6Z,9Z,12Z,15Z-Octadecatetraenoic acid; (6Z,9Z,12Z,15Z)-Octadeca-6,9,12,15-tetraenoic acid",yellow
C00380,Cytosine,green
C22851,"1D-myo-Inositol 1,2,5,6-tetrakisphosphate",yellow
C00510,Oleoyl-CoA; (9Z)-Octadecenoyl-CoA,yellow
C20658,O-Acetyl-ADP-ribose; 2''-O-Acetyl-ADP-ribose; AADPR,green
C16291,"7,8-Dihydro-beta-carotene",yellow
C00996,Ferricytochrome b5,yellow
C11404,(3R)-6-Hydroxy-3-isopropenyl-heptanoate,blue
C00134,"Putrescine; 1,4-Butanediamine; 1,4-Diaminobutane; Tetramethylenediamine; Butane-1,4-diamine",green
C05125,2-(alpha-Hydroxyethyl)thiamine diphosphate; 2-Hydroxyethyl-ThPP,green
C05924,Molybdopterin; Pyranopterin; H2Dtpp-mP,green
C10646,Lariciresinol; (+)-Lariciresinol,yellow
C19848,Adenylated molybdopterin; Adenylyl-molybdopterin,green
C12127,(+)-Gallocatechin; Gallocatechol,yellow
C03758,"Dopamine; 4-(2-Aminoethyl)-1,2-benzenediol; 4-(2-Aminoethyl)benzene-1,2-diol; 3,4-Dihydroxyphenethylamine; 2-(3,4-Dihydroxyphenyl)ethylamine",yellow
C03912,(S)-1-Pyrroline-5-carboxylate; L-1-Pyrroline-5-carboxylate; 1-Pyrroline-5-carboxylate,green
C00355,"3,4-Dihydroxy-L-phenylalanine; L-Dopa; 3-Hydroxy-L-tyrosine; L-beta-(3,4-Dihydroxyphenyl)alanine; Levodopa; Dihydroxy-L-phenylalanine",yellow
C20861,"Mannobiose; beta-1,4-Mannobiose",blue
C05422,Dehydroascorbate; Dehydroascorbic acid; L-Dehydroascorbate; L-Dehydroascorbic acid,yellow
C02642,3-Ureidopropionate; 3-Ureidopropanoate; beta-Ureidopropionic acid; N-Carbamoyl-beta-alanine,green
C00264,3-Oxoacyl-CoA,yellow
C02336,beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose,green
C21029,(R)-3-Ureidoisobutyrate; (R)-N-Carbamyl-beta-aminoisobutyrate,green
C17549,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-(L-alanyl-L-alanyl)-D-alanyl-D-alanine,blue
C21878,Pyridinium-3-carboxy-5-thiocarboxylic acid mononucleotide; PCTMN; Pyridin-1-ium-3-carboxylate-5-thiocarboxylate mononucleotide,blue
C19745,"UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate; UDP-alpha-D-ManNAc3NAcA; UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronic acid",blue
C01368,3'-UMP; Uridine 3'-monophosphate; Uridine 3'-phosphate,blue
C01197,"Caffeate; Caffeic acid; 3,4-Dihydroxy-trans-cinnamate; trans-Caffeate; (2E)-3-(3,4-Dihydroxyphenyl)prop-2-enoate",yellow
C21072,Palmitoleoyl-CoA; (9Z)-Hexadec-9-enoyl-CoA; (9Z)-Hexadecenoyl-CoA; 9Z-Hexadecenoyl-CoA,yellow
C04494,"Guanosine 3'-diphosphate 5'-triphosphate; Guanosine 5'-triphosphate,3'-diphosphate",green
C04409,2-Amino-3-carboxymuconate semialdehyde; 2-Amino-3-(3-oxoprop-1-enyl)-but-2-enedioate; 2-Amino-3-(3-oxoprop-1-en-1-yl)but-2-enedioate,yellow
C19604,"7,12-Dimethylbenz[a]anthracene 5,6-oxide; DMBA-5,6-epoxide",yellow
C00376,Retinal; Vitamin A aldehyde; Retinene; all-trans-Retinal; all-trans-Vitamin A aldehyde; all-trans-Retinene,green
C22963,C22963; GPI-anchor biosynthesis intermediate 1,yellow
C00148,L-Proline; 2-Pyrrolidinecarboxylic acid,green
C10107,"Myricetin; 3,5,7,3',4',5'-Hexahydroxyflavone",yellow
C01514,"Luteolin; 3',4',5,7-Tetrahydroxyflavone; 5,7,3',4'-Tetrahydroxyflavone",yellow
C00204,2-Dehydro-3-deoxy-D-gluconate; 2-Keto-3-deoxy-D-gluconate; 2-Dehydro-3-deoxy-D-gluconic acid,blue
C04154,rRNA containing N6-methyladenine; rRNA(N6-methyladenine); N6-Methyladenine in rRNA,blue
C22563,"gamma-Linolenoyl-[glycerolipid]; (6Z,9Z,12Z)-Octadeca-6,9,12-trienoyl-[glycerolipid]",yellow
C19490,"trans-3,4-Dihydro-3,4-dihydroxy-7,12-dimethylbenz[a]anthracene; trans-DMBA-3,4-dihydrodiol",yellow
C00417,cis-Aconitate; cis-Aconitic acid,green
C00905,D-Fructuronate; D-Fructuronic acid,blue
C22442,dZDP; 2-Amino-2'-deoxyadenosine 5'-diphosphate,green
C04881,"N-Acetyl-beta-D-mannosaminyl-1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenol; N-Acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol",blue
C01146,2-Hydroxy-3-oxopropanoate; Tartronate semialdehyde,yellow
C00136,Butanoyl-CoA; Butyryl-CoA,green
C14854,"9-Hydroxybenzo[a]pyrene-4,5-oxide; 9-Hydroxybenzo[a]pyrene-4,5-epoxide",yellow
C14814,"11,14,15-THETA; 11,14,15-Trihydroxyicosatrienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-11,14,15-Trihydroxyicosa-5,8,12-trienoic acid",yellow
C00346,Ethanolamine phosphate; O-Phosphorylethanolamine; Phosphoethanolamine; O-Phosphoethanolamine,yellow
C04043,"3,4-Dihydroxyphenylacetaldehyde; DOPAL; Protocatechuatealdehyde",yellow
C14813,"11H-14,15-EETA; 11-Hydroxy-14,15-EETA; 11-Hydroxy-14,15-epoxyeicosatrienoic acid; (5Z,8Z,12E)-14,15-Epoxy-11-hydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,12E)-14,15-Epoxy-11-hydroxyicosa-5,8,12-trienoic acid",yellow
C03892,"Phosphatidylglycerophosphate; 1-(3-sn-Phosphatidyl)-sn-glycerol 3-phosphate; 3-(3-Phosphatidyl)-D-glycerol 1-phosphate; 1,2-Diacyl-sn-glycero-3-phospho-sn-glycerol 3'-phosphate",green
C12667,Quercetin 3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside; Baimaside; Quercetin 3-beta-D-sophoroside; Quercetin 3-O-sophoroside; QUOSP,yellow
C00430,5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid; 5-Amino-4-oxopentanoic acid,yellow
C04242,5-Fluorodeoxyuridine monophosphate,green
C00535,Testosterone; 17beta-Hydroxy-4-androsten-3-one,green
C17401,Cobalt-factor III,blue
C02702,L-Prolyl-tRNA(Pro),green
C01061,"4-Fumarylacetoacetate; 4-Fumarylacetoacetic acid; Fumarylacetoacetate; (2E)-4,6-Dioxooct-2-enedioic acid",yellow
C00366,Urate; Uric acid,green
C01345,dITP; 2'-Deoxyinosine-5'-triphosphate; 2'-Deoxyinosine 5'-triphosphate,green
C00439,N-Formimino-L-glutamate; N-Formimidoyl-L-glutamate,green
C01165,L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde,green
C04738,UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine; UDP-3-O-(beta-hydroxymyristoyl)-N-acetylglucosamine; UDP-3-O-[(3R)-3-hydroxymyristoyl]-N-acetylglucosamine,green
C00688,dTDP-4-dehydro-beta-L-rhamnose; dTDP-4-dehydro-6-deoxy-beta-L-mannose; dTDP-4-oxo-6-deoxy-L-mannose; dTDP-4-oxo-L-rhamnose,blue
C05332,Phenethylamine; 2-Phenylethylamine; beta-Phenylethylamine; Phenylethylamine,yellow
C12206,Caffeyl alcohol,yellow
C21215,Prenylated FMNH2; Reduced prFMN,blue
C16632,alpha-Fluoro-beta-alanine; 3-Amino-2-fluoropropionic acid,yellow
C15798,6-Deoxocathasterone,yellow
C02305,Phosphocreatine; N-Phosphocreatine; Creatine phosphate,yellow
C17217,Dihomomethionine; L-Dihomomethionine,green
C01346,dUDP; 2'-Deoxyuridine 5'-diphosphate,green
C00253,Nicotinate; Nicotinic acid; Niacin; 3-Pyridinecarboxylic acid,green
C21751,5-Fluorodeoxyuridine triphosphate,green
C00487,Carnitine; gamma-Trimethyl-hydroxybutyrobetaine; 3-Hydroxy-4-trimethylammoniobutanoate,yellow
C15502,3-Epihydroxy-2'-deoxymugineic acid,yellow
C15883,"2,3-Dimethyl-5-phytylquinol; 2,3-Dimethyl-5-phytyl-1,4-hydroquinone; 2,3-Dimethyl-6-phytylbenzene-1,4-diol",yellow
C01304,"2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one; 2,5-Diamino-6-(1-D-ribosylamino)pyrimidin-4(3H)-one 5'-phosphate",green
C00081,ITP; Inosine 5'-triphosphate; Inosine triphosphate; Inosine tripolyphosphate,green
C01245,"D-myo-Inositol 1,4,5-trisphosphate; 1D-myo-Inositol 1,4,5-trisphosphate; Inositol 1,4,5-trisphosphate; Ins(1,4,5)P3",yellow
C16633,5-Fluorouridine,green
C21152,"N,N'-Diacetylchitobiose 6'-phosphate",blue
C05668,3-Hydroxypropionyl-CoA; 3-Hydroxypropionyl coenzyme A; 3-Hydroxypropanoyl-CoA; 3-Hydroxypropanoyl coenzymeA; beta-Hydroxypropionyl-CoA,yellow
C00188,L-Threonine; 2-Amino-3-hydroxybutyric acid,green
C01659,Acrylamide; 2-Propenamide,yellow
C00459,dTTP; Deoxythymidine triphosphate; Deoxythymidine 5'-triphosphate; TTP,green
C01909,Dethiobiotin; Desthiobiotin,green
C22119,"3beta-Hydroxyergosta-7,24(24(1))-dien-4alpha-carboxylate",yellow
C05546,"Protein N6,N6,N6-trimethyl-L-lysine",yellow
C04677,1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide; 5'-Phosphoribosyl-5-amino-4-imidazolecarboxamide; 5'-Phospho-ribosyl-5-amino-4-imidazole carboxamide; AICAR; 5-Aminoimidazole-4-carboxamide ribotide; 5-Phosphoribosyl-4-carbamoyl-5-aminoimidazole; 5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide; 5-Amino-1-(5-phospho-beta-D-ribosyl)imidazole-4-carboxamide,green
C11869,Gibberellin A34-catabolite,yellow
C00475,Cytidine,green
C14748,"20-HETE; (5Z,8Z,11Z,14Z)-20-Hydroxyicosa-5,8,11,14-tetraenoic acid; 20-Hydroxyeicosatetraenoic acid; 20-Hydroxyicosatetraenoic acid; 20-Hydroxy arachidonic acid",yellow
C06196,2'-Deoxyinosine 5'-phosphate; dIMP,yellow
C15800,3-Dehydro-6-deoxoteasterone,yellow
C21881,[Protein]-S-[1-(5-O-phosphono-beta-D-ribofuranosyl)-5-(sulfanylcarbonyl)pyridin-1-ium-3-carbonyl]-L-cysteine,blue
C00122,Fumarate; Fumaric acid; trans-Butenedioic acid,green
C01042,N-Acetyl-L-aspartate; N-Acetyl-L-aspartic acid,yellow
C01241,Phosphatidyl-N-methylethanolamine,yellow
C00331,Indolepyruvate; Indolepyruvic acid; (Indol-3-yl)pyruvate; Indole-3-pyruvate; 3-(Indol-3-yl)pyruvate,yellow
C00024,Acetyl-CoA; Acetyl coenzyme A,green
C21101,Protein N(omega)-phospho-L-arginine; [Protein]-N(omega)-phospho-L-arginine,blue
C00655,Xanthosine 5'-phosphate; Xanthylic acid; XMP; (9-D-Ribosylxanthine)-5'-phosphate,green
C05922,Formamidopyrimidine nucleoside triphosphate,green
C03460,2-Methylprop-2-enoyl-CoA; Methacrylyl-CoA; Methylacrylyl-CoA,green
C00245,Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid,green
C01300,"6-(Hydroxymethyl)-7,8-dihydropterin; 6-Hydroxymethyl-7,8-dihydropterin; 2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine",green
C14864,S-(2-Chloroacetyl)glutathione,yellow
C15810,Sulfur-carrier protein; [Sulfur-carrier protein]; [Sulfur-carrier protein]-Gly-Gly,green
C16186,L-Ascorbate 6-phosphate,blue
C00047,"L-Lysine; Lysine acid; 2,6-Diaminohexanoic acid",green
C12124,Apiforol,yellow
C16429,trans-Zeatin riboside diphosphate,yellow
C14808,"Hepoxilin A3; (5Z,9E,14Z)-(11S,12S)-11,12-Epoxy-8-hydroxyeicosa-5,9,14-trienoic acid; (5Z,9E,14Z)-(11S,12S)-11,12-Epoxy-8-hydroxyicosa-5,9,14-trienoic acid",yellow
C00561,Mandelonitrile; Benzaldehyde cyanohydrin; (R)-Mandelonitrile,green
C08276,3-(Methylthio)propanoate; 3-(Methylthio)propionic acid; 3-Methylthiopropionate; 3-(Methylsulfanyl)propanoate; 3-Methylthiopropanoic acid,yellow
C14781,"15H-11,12-EETA; 15-Hydroxy-11,12-epoxyeicosatrienoic acid; (5Z,8Z,13E)-(15S)-11,12-Epoxy-15-hydroxyeicosa-5,8,13-trienoic acid; (5Z,8Z,13E)-(15S)-11,12-Epoxy-15-hydroxyicosa-5,8,13-trienoic acid",yellow
C06098,"Zeaxanthin; (3R,3'R)-beta,beta-Carotene-3,3'-diol",yellow
C21106,24-epi-Campesterol,yellow
C05855,4-Hydroxycinnamyl alcohol 4-D-glucoside; p-Coumaryl alcohol 4-O-glucoside,yellow
C15514,8'-Hydroxyabscisate; 8'-Hydroxyabscisic acid,yellow
C00450,"(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate; Delta1-Piperideine-6-L-carboxylate",yellow
C01074,N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc,yellow
C04722,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oate; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanate",yellow
C15968,"Adonixanthin; 4-Ketozeaxanthin; 3,3'-Dihydroxy-beta,beta-carotene-4-one",yellow
C00100,Propanoyl-CoA; Propionyl-CoA; Propionyl coenzyme A,green
C06135,GA2; GalNAc-beta1->4Gal-beta1->4Glc-beta1->1'Cer; GalNAc-beta1->4LacCer,yellow
C05639,"4,6-Dihydroxyquinoline; Quinoline-4,6-diol",yellow
C16355,7-Methyluric acid,yellow
C15792,3-Dehydroteasterone,yellow
C06416,Precorrin 5,blue
C01929,L-Histidinal,green
