	gene_set_1	detected
C00208	True	False
C00144	True	False
C22443	True	False
C05703	True	False
C02222	True	False
C00136	True	False
C04132	True	False
C15602	True	False
C01563	True	False
C01142	True	False
C05623	True	False
C00527	True	False
C00693	True	False
C04039	True	False
C04051	True	False
C00094	True	False
C22002	True	False
C16832	True	False
C05993	True	False
C16615	True	False
G13166	True	False
C05848	True	False
C03541	True	False
C00295	True	False
C21194	True	False
C12632	True	False
C00180	True	False
C07479	True	False
C05897	True	False
C00016	True	False
C01962	True	False
C05758	True	False
C00148	True	True
C15809	True	False
C11355	True	False
C04640	True	False
C04330	True	False
C00672	True	False
C11417	True	False
C01222	True	False
C21386	True	False
C00369	True	False
C21113	True	False
C00509	True	True
C21881	True	False
C21387	True	False
C00259	True	False
C02984	True	False
C15976	True	False
C00962	True	False
C07838	True	False
C20258	True	False
C01219	True	False
C03516	True	False
C00864	True	False
C00096	True	False
C11543	True	False
C18048	True	False
C17219	True	False
C04442	True	False
C21991	True	False
C04654	True	False
C20375	True	False
C17401	True	False
C00250	True	True
C01134	True	False
C00004	True	False
C14145	True	False
C04133	True	False
C15978	True	False
C04334	True	False
C00905	True	False
C04216	True	True
C05699	True	False
C04896	True	False
C01345	True	False
C00601	True	False
C15556	True	False
C01330	True	False
C00576	True	False
C02528	True	False
C03287	True	False
C04154	True	False
C03125	True	False
C00446	True	False
C00647	True	False
C00235	True	True
C17213	True	False
C20830	True	False
C06102	True	False
C21878	True	False
C04327	True	False
C00624	True	False
C00536	True	False
C03296	True	False
C00129	True	True
C01304	True	False
C00299	True	True
C04122	True	False
C00026	True	False
C04631	True	False
C00029	True	False
C19154	True	False
C00022	True	False
C20423	True	False
C00332	True	False
C00201	True	False
C00350	True	False
C04554	True	False
C05271	True	False
C00204	True	False
C05265	True	False
C01172	True	False
C15977	True	False
C00887	True	False
G09660	True	False
C06188	True	False
C19859	True	False
C00366	True	False
C00229	True	False
C07335	True	False
C00454	True	False
C00269	True	False
C15996	True	False
C03733	True	False
C05381	True	False
C01352	True	False
C00119	True	False
C00030	True	False
C00036	True	False
C05698	True	False
C00080	True	False
C14868	True	False
C00008	True	True
C02637	True	False
C16348	True	False
C16242	True	False
C03273	True	False
C18802	True	False
C02839	True	False
C21174	True	False
C06019	True	False
C03972	True	False
C02872	True	False
C03161	True	False
C21439	True	False
C05235	True	False
C01346	True	False
C00942	True	True
C03345	True	False
G10665	True	False
C00543	True	False
C01898	True	False
C11588	True	False
C01024	True	False
C01083	True	False
C03519	True	False
C04483	True	False
C19878	True	False
C14848	True	False
C05762	True	False
C14463	True	False
C04044	True	False
C00189	True	True
C04851	True	False
C04751	True	False
C18076	True	False
C22160	True	False
C00248	True	False
C00979	True	False
C00074	True	False
G10008	True	False
C06482	True	False
C16244	True	False
C01573	True	False
C09332	True	False
C21851	True	False
C01935	True	False
C04377	True	False
C00508	True	False
C01212	True	False
C04479	True	False
C06024	True	False
C05273	True	False
C19609	True	False
C02962	True	False
C00140	True	False
C00224	True	False
C00152	True	True
C05838	True	False
C02741	True	False
C02269	True	False
C20676	True	False
C00061	True	False
C00343	True	False
C03460	True	False
C06113	True	False
C06021	True	False
C00251	True	False
C04121	True	False
C16471	True	False
C00161	True	False
C00245	True	False
C16688	True	False
C18796	True	False
C00642	True	False
G13181	True	False
C21873	True	False
C16849	True	False
C04419	True	False
C01879	True	False
C00227	True	False
C21861	True	False
C06416	True	False
C00163	True	True
C00691	True	False
C05754	True	False
C00232	True	False
C04691	True	False
C02133	True	False
C00031	True	True
C00310	True	False
C00124	True	False
C02188	True	False
C00192	True	False
C05198	True	False
C05726	True	False
C02967	True	False
C04932	True	False
C06441	True	False
C01161	True	False
C19880	True	False
C02191	True	False
C06397	True	False
C06614	True	False
C19745	True	False
C00862	True	False
C20752	True	False
C02631	True	False
C00097	True	True
C19946	True	False
C05768	True	False
C22337	True	False
C11540	True	False
C00060	True	False
C00237	True	False
C04574	True	False
C15975	True	False
C02527	True	False
C00267	True	False
C05729	True	False
C22161	True	False
C00828	True	False
C00214	True	False
C01641	True	False
C05261	True	False
C00636	True	False
C06503	True	False
C20960	True	False
C04534	True	False
C05635	True	False
C20641	True	False
C16699	True	False
C22502	True	False
C00093	True	False
C06408	True	False
C00178	True	True
C00084	True	False
C03512	True	False
C05750	True	False
C00681	True	False
C00069	True	False
C06142	True	False
C03920	True	False
C00385	True	True
C04644	True	False
C06020	True	False
C00190	True	False
C04225	True	False
C04432	True	False
C20253	True	False
G13200	True	False
C05770	True	False
C05746	True	False
C00170	True	False
C20251	True	False
C01438	True	False
C16502	True	False
C05263	True	False
C22501	True	False
C04332	True	False
C00081	True	False
C00068	True	False
C15810	True	False
C17223	True	False
C03393	True	False
C03150	True	False
C17212	True	False
C00630	True	False
C22151	True	False
C00053	True	False
C00041	True	True
C00409	True	False
C00279	True	False
C05691	True	False
C04582	True	False
C00530	True	False
C19078	True	False
C04916	True	False
C14899	True	False
C02612	True	False
C00222	True	False
C11907	True	False
C00390	True	False
C00645	True	False
C05223	True	False
C00364	True	True
C05402	True	True
C00319	True	False
C21065	True	False
C01138	True	False
C05753	True	False
C02505	True	False
C19871	True	False
C05125	True	False
C00007	True	False
C00679	True	False
C00154	True	False
C14090	True	False
C00024	True	False
C03576	True	False
C00194	True	False
C01595	True	True
C13645	True	False
C01104	True	False
C00236	True	False
C06423	True	True
C00719	True	False
C03363	True	False
C16338	True	False
C16399	True	False
C00354	True	False
C20748	True	False
C00417	True	False
C16587	True	False
C20958	True	False
G11121	True	False
C00593	True	False
C03175	True	False
C01721	True	False
C00680	True	False
C16220	True	False
G00177	True	False
C20372	True	False
C00861	True	False
C01097	True	False
C03862	True	False
C06398	True	False
C07836	True	False
C20658	True	False
C04349	True	False
C21767	True	False
C05360	True	False
C05528	True	False
C05512	True	False
C17552	True	False
C02504	True	False
C05199	True	False
C00153	True	True
C00424	True	False
C02964	True	False
C00188	True	True
C00108	True	False
C05665	True	False
C04157	True	False
C00167	True	False
C14871	True	False
C00246	True	True
C02835	True	False
C06193	True	False
C01094	True	False
C05949	True	False
C00283	True	False
C00206	True	False
C07086	True	False
C00512	True	False
C00003	True	False
C05817	True	False
C19890	True	False
C00253	True	True
C04628	True	False
C06715	True	False
C01081	True	False
C01888	True	False
C02843	True	False
C01269	True	False
G11160	True	False
C03912	True	False
C00886	True	False
C18305	True	False
C00492	True	False
C00042	True	False
C01185	True	False
C04730	True	False
C19879	True	False
C16639	True	False
C15806	True	False
C21955	True	False
C00988	True	False
C04677	True	False
C00048	True	False
C00356	True	False
C03263	True	False
C01302	True	False
C00671	True	False
C11404	True	False
C12623	True	False
C00085	True	False
C17952	True	False
C03283	True	False
C00416	True	False
C12739	True	False
C00043	True	False
C21754	True	False
C01732	True	False
C06010	True	False
C03058	True	False
C20246	True	False
C05894	True	False
C20377	True	False
C01037	True	False
C05850	True	False
C06506	True	False
C00131	True	True
C20861	True	False
C04732	True	False
C00138	True	False
C05924	True	False
C02972	True	False
C00258	True	False
C22155	True	False
C21462	True	False
C05931	True	False
C06224	True	False
C16154	True	False
C00014	True	False
C21440	True	False
C00185	True	False
C00044	True	True
C04144	True	False
C11420	True	False
C05744	True	False
C06040	True	False
C00255	True	True
C06377	True	False
C20239	True	False
C00164	True	False
C00132	True	False
C05272	True	False
C01300	True	False
C16565	True	False
C05778	True	False
C21335	True	False
C01931	True	False
C16236	True	False
C00025	True	True
C03506	True	False
C00415	True	False
C00794	True	False
C22441	True	False
C01079	True	False
C00033	True	False
G01391	True	False
C06563	True	True
C20378	True	False
C21612	True	False
C14863	True	False
C06103	True	False
C20376	True	False
C11538	True	False
C00244	True	False
C01112	True	False
C12624	True	False
C21181	True	False
C00006	True	False
C00199	True	False
C03511	True	False
C00695	True	False
C03794	True	False
C02218	True	False
C21403	True	False
C00005	True	False
C21391	True	False
C00249	True	True
C06510	True	False
C20231	True	False
C04874	True	False
C03406	True	False
C04702	True	False
C00627	True	False
C20249	True	False
C00615	True	False
C04053	True	False
C22507	True	False
C00275	True	False
C00531	True	False
C00361	True	True
C00526	True	True
C19080	True	False
C16221	True	False
C04575	True	False
C02987	True	False
C16631	True	False
C20831	True	False
C02989	True	False
G00289	True	False
C02352	True	False
C02737	True	False
C00936	True	False
C02553	True	False
C03539	True	False
C04501	True	False
C03431	True	False
C20373	True	False
C02474	True	False
C00561	True	False
C19945	True	False
C00262	True	True
C06187	True	False
C01419	True	False
C00344	True	False
G10557	True	False
C06026	True	False
C06891	True	False
C05763	True	False
C00483	True	True
C00513	True	False
C05712	True	False
C04832	True	False
C20642	True	False
C01168	True	False
C03167	True	False
C17551	True	False
C00169	True	False
C01096	True	False
C00233	True	False
C06112	True	False
C00685	True	False
C00001	True	False
C05711	True	False
C06376	True	False
C09099	True	False
C00798	True	False
C20750	True	False
C00392	True	False
C11544	True	False
C11811	True	False
C01209	True	False
C01762	True	True
C15603	True	False
C20451	True	False
C13952	True	False
C19647	True	False
C00203	True	False
C01101	True	False
C01217	True	False
C00219	True	True
C06251	True	False
C00334	True	True
C19852	True	False
C05751	True	False
C05696	True	False
C15973	True	False
C01672	True	False
C05923	True	False
C21152	True	False
C04506	True	False
C00330	True	False
C16219	True	False
C05947	True	False
C03586	True	False
C02091	True	False
C00802	True	False
C14792	True	False
C02798	True	False
C11838	True	False
C21785	True	False
C11143	True	False
C22438	True	False
C14806	True	False
C00352	True	False
C00461	True	False
C00159	True	False
C22411	True	False
C05275	True	False
C03561	True	False
C00582	True	False
C04738	True	False
C01274	True	False
C16596	True	False
